text,label,group_id
tari2 el balad 2ata3 kellyan mnel enhiyar,urgent,synthetic_48
tari2 feeh drob bas fi masar tene,not_urgent,synthetic_49
انقطع سلك الكهرباء وسقط على الطريق وهذا خطر كبير على السيارات,urgent,synthetic_50
يوجد انقطاع كهرباء في الحي منذ ساعتين وهو أمر عادي يتكرر,not_urgent,synthetic_51
حدث عطل في المحول الكهربائي ويخرج منه دخان ورائحة احتراق,urgent,synthetic_52
تم تأخير جدول توزيع الكهرباء بضع ساعات دون أي خطر,not_urgent,synthetic_53
محطة الوقود مغلقة بالكامل ولا يوجد بنزين في المحطات المجاورة,urgent,synthetic_54
هناك طابور طويل في محطة الوقود ولكن الوضع تحت السيطرة,not_urgent,synthetic_55
انهار جزء من الطريق بالكامل ويستحيل عبوره حاليا,urgent,synthetic_56
يوجد شرخ بسيط في الطريق لكنه غير مؤثر على السير,not_urgent,synthetic_57
انقطعت المياه بشكل كامل عن المستشفى وهذا أمر خطير جدا,urgent,synthetic_58
هناك تسريب مياه بسيط في الشارع لكنه غير مقلق,not_urgent,synthetic_59
تعطلت حافلة النقل العام بشكل كامل وتوقفت الخدمة نهائيا,urgent,synthetic_60
تأخرت حافلة النقل العام عن موعدها المعتاد بضع دقائق,not_urgent,synthetic_61
انفجر كابل كهرباء في وسط الشارع ويشكل خطرا مباشرا على المارة,urgent,synthetic_62
يوجد عطل بسيط في إنارة الشارع منذ يومين,not_urgent,synthetic_63
il y a un cable electrique tombe sur la route et c'est tres dangereux,urgent,synthetic_64
il y a une petite coupure de courant dans le quartier depuis une heure,not_urgent,synthetic_65
le transformateur fait de la fumee et sent le brule c'est urgent,urgent,synthetic_66
il y a un retard mineur dans l'horaire d'electricite,not_urgent,synthetic_67
la station essence est fermee et il n'y a pas de carburant nulle part,urgent,synthetic_68
il y a une longue file a la station mais ca avance normalement,not_urgent,synthetic_69
la route s'est effondree completement et c'est impossible de passer,urgent,synthetic_70
il y a une petite fissure sur la route mais rien de grave,not_urgent,synthetic_71
there is a live wire down on the road and it's extremely dangerous,urgent,synthetic_72
power has been out in our building for a bit but it's routine,not_urgent,synthetic_73
the transformer is smoking and smells like it's burning,urgent,synthetic_74
the bus schedule was delayed a few minutes today,not_urgent,synthetic_75
fi cable kahraba w7ad it's fallen 3al street tres dangereux,urgent,synthetic_76
il y a chwayet retard bel bus bas normal 3ade,not_urgent,synthetic_77
the gas station is completely fermee w mafi mazout nulle part,urgent,synthetic_78
petite fuite d'eau bel share3 bas mesh trop grave,not_urgent,synthetic_79
